mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.7902414162953695,0.2692932176946555,0.010571813583374024,0.0020206586896007565,0.6,1050,5,3,0.2,2,0.6,"{'model__subsample': 0.6, 'model__n_estimators': 1050, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 2, 'model__colsample_bytree': 0.6}",0.9085497835497836,0.8446969696969698,0.8422619047619047,0.8825642442663719,0.8861563967946947,0.8399621212121212,0.8070887445887446,0.8841991341991342,0.8759325780602376,0.8449848024316109,0.8747294372294373,0.8392857142857143,0.8712121212121212,0.8405636916275213,0.8586626139817629,0.8600566838598752,0.025187940754861915,4
0.5724069913228352,0.007794422929191194,0.012233765920003255,0.0007690744983825763,1.0,900,10,3,0.0001,1,0.6,"{'model__subsample': 1.0, 'model__n_estimators': 900, 'model__min_child_weight': 10, 'model__max_depth': 3, 'model__learning_rate': 0.0001, 'model__gamma': 1, 'model__colsample_bytree': 0.6}",0.8836580086580086,0.8423971861471862,0.8452380952380953,0.8726167449571705,0.8767615363360044,0.8079004329004329,0.8288690476190476,0.9311417748917749,0.8698535507046146,0.8672285161646864,0.8567370129870129,0.8659361471861471,0.8520021645021644,0.8774523348991434,0.8578336557059961,0.8623750805931656,0.02677824361844479,3
0.7170875231424968,0.0065412879831927085,0.012300364176432292,0.0005947936744208531,1.0,1025,10,4,0.0001,1.5,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 1025, 'model__min_child_weight': 10, 'model__max_depth': 4, 'model__learning_rate': 0.0001, 'model__gamma': 1.5, 'model__colsample_bytree': 0.8}",0.8778409090909091,0.8541666666666666,0.8487554112554112,0.8708206686930091,0.8786957723127935,0.8068181818181818,0.838474025974026,0.929112554112554,0.8679193147278254,0.8687482730035921,0.8587662337662338,0.8643127705627706,0.8538961038961038,0.8780049737496546,0.8536888643271622,0.8633347149304597,0.025043210715857897,1
0.679491662979126,0.010333022903910605,0.01170199712117513,0.0009260191299741778,0.6,1000,10,4,0.01,5,0.8,"{'model__subsample': 0.6, 'model__n_estimators': 1000, 'model__min_child_weight': 10, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__gamma': 5, 'model__colsample_bytree': 0.8}",0.863365800865801,0.8329274891774892,0.8422619047619049,0.868195634153081,0.8708206686930091,0.811417748917749,0.7976190476190477,0.9272186147186147,0.8713733075435203,0.842912406742194,0.8517316017316017,0.854978354978355,0.8555194805194806,0.858524454269135,0.8455374412821223,0.8529602637315405,0.028303210849176644,5
0.8762834390004476,0.040432448805412455,0.010171000162760417,0.0017556904028157914,0.8,925,1,5,0.3,2,0.6,"{'model__subsample': 0.8, 'model__n_estimators': 925, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.3, 'model__gamma': 2, 'model__colsample_bytree': 0.6}",0.8993506493506493,0.8641774891774892,0.854978354978355,0.8637745233489914,0.8759325780602376,0.8593073593073595,0.8246753246753246,0.9015151515151515,0.866814037026803,0.8814589665653495,0.8541666666666666,0.8344155844155843,0.8471320346320346,0.8444321635810997,0.8720641061066593,0.8629463326271836,0.020736178172274022,2
